date,ticker,return_daily,cumulative_return,log_return,ticker_clean
2023-04-20,ENGI11.SA,1.349402,91.35599,0.013404,ENGI11
2023-04-24,ENGI11.SA,1.069901,93.403309,0.010642,ENGI11
2023-04-25,ENGI11.SA,-2.070098,89.399671,-0.020918,ENGI11
2023-04-26,ENGI11.SA,-0.456398,88.535254,-0.004574,ENGI11
2023-04-27,ENGI11.SA,1.254823,90.901038,0.01247,ENGI11
2023-04-28,ENGI11.SA,-0.381312,90.173109,-0.00382,ENGI11
2023-05-02,ENGI11.SA,0.909095,91.901964,0.00905,ENGI11
2023-05-03,ENGI11.SA,1.043153,93.903794,0.010377,ENGI11
2023-05-04,ENGI11.SA,1.923976,97.634457,0.019057,ENGI11
2023-05-05,ENGI11.SA,-0.161149,97.31597,-0.001613,ENGI11
2023-05-08,ENGI11.SA,-0.069161,97.179504,-0.000692,ENGI11
2023-05-09,ENGI11.SA,1.430531,100.000218,0.014204,ENGI11
2023-05-10,ENGI11.SA,2.047328,104.094878,0.020267,ENGI11
2023-05-11,ENGI11.SA,0.757921,105.641756,0.007551,ENGI11
2023-05-12,ENGI11.SA,-2.455764,100.591681,-0.024864,ENGI11
2023-05-15,ENGI11.SA,2.540267,105.687245,0.025085,ENGI11
2023-05-16,ENGI11.SA,-1.216552,103.184951,-0.01224,ENGI11
2023-05-17,ENGI11.SA,-0.223921,102.729977,-0.002242,ENGI11
2023-05-18,ENGI11.SA,-0.875214,100.955656,-0.008791,ENGI11
2023-05-19,ENGI11.SA,4.029872,109.053911,0.039508,ENGI11
2023-05-22,ENGI11.SA,-2.023919,104.822828,-0.020447,ENGI11
2023-05-23,ENGI11.SA,-1.221687,102.320535,-0.012292,ENGI11
2023-05-24,ENGI11.SA,-1.349225,99.590777,-0.013584,ENGI11
2023-05-25,ENGI11.SA,4.330965,108.234983,0.042398,ENGI11
2023-05-26,ENGI11.SA,-0.43695,107.3251,-0.004379,ENGI11
2023-05-29,ENGI11.SA,-2.018887,103.139441,-0.020395,ENGI11
2023-05-30,ENGI11.SA,-0.918246,101.27412,-0.009225,ENGI11
2023-05-31,ENGI11.SA,-0.452083,100.364194,-0.004531,ENGI11
2023-06-01,ENGI11.SA,-3.269756,93.812773,-0.033244,ENGI11
2023-06-02,ENGI11.SA,3.075134,99.772775,0.030288,ENGI11
2023-06-05,ENGI11.SA,-1.844694,96.087579,-0.018619,ENGI11
2023-06-06,ENGI11.SA,3.921112,103.776392,0.038462,ENGI11
2023-06-07,ENGI11.SA,0.535845,104.868317,0.005344,ENGI11
2023-06-09,ENGI11.SA,0.866079,106.642638,0.008623,ENGI11
2023-06-12,ENGI11.SA,0.726552,108.144006,0.007239,ENGI11
2023-06-13,ENGI11.SA,-1.245892,105.550757,-0.012537,ENGI11
2023-06-14,ENGI11.SA,1.925621,109.508885,0.019073,ENGI11
2023-06-15,ENGI11.SA,1.389801,112.420642,0.013802,ENGI11
2023-06-16,ENGI11.SA,-3.105588,105.823733,-0.031548,ENGI11
2023-06-19,ENGI11.SA,-0.331576,105.141271,-0.003321,ENGI11
2023-06-20,ENGI11.SA,4.280316,113.921965,0.041912,ENGI11
2023-06-21,ENGI11.SA,-0.191388,113.512545,-0.001916,ENGI11
2023-06-22,ENGI11.SA,-2.770081,107.598076,-0.028092,ENGI11
2023-06-23,ENGI11.SA,5.939063,119.927456,0.057694,ENGI11
2023-06-26,ENGI11.SA,-0.082754,119.745458,-0.000828,ENGI11
2023-06-27,ENGI11.SA,-0.848865,117.880115,-0.008525,ENGI11
2023-06-28,ENGI11.SA,0.208829,118.335112,0.002086,ENGI11
2023-06-29,ENGI11.SA,1.187738,120.92836,0.011807,ENGI11
2023-06-30,ENGI11.SA,3.37729,128.389752,0.033215,ENGI11
2023-07-03,ENGI11.SA,0.776864,130.164029,0.007739,ENGI11
2023-07-04,ENGI11.SA,-0.355802,129.345102,-0.003564,ENGI11
2023-07-05,ENGI11.SA,0.257892,129.936564,0.002576,ENGI11
2023-07-06,ENGI11.SA,-0.613373,128.526196,-0.006153,ENGI11
2023-07-07,ENGI11.SA,0.875984,130.528048,0.008722,ENGI11
2023-07-10,ENGI11.SA,0.335498,131.301465,0.003349,ENGI11
2023-07-11,ENGI11.SA,-1.6719,127.434336,-0.01686,ENGI11
2023-07-12,ENGI11.SA,-0.62014,126.023924,-0.006221,ENGI11
2023-07-13,ENGI11.SA,0.845411,127.934755,0.008419,ENGI11
2023-07-14,ENGI11.SA,-0.199607,127.479781,-0.001998,ENGI11
2023-07-17,ENGI11.SA,-0.140006,127.161295,-0.001401,ENGI11
2023-07-18,ENGI11.SA,-0.861193,125.204997,-0.008649,ENGI11
2023-07-19,ENGI11.SA,-0.202036,124.750001,-0.002022,ENGI11
2023-07-20,ENGI11.SA,-0.344114,123.976605,-0.003447,ENGI11
2023-07-21,ENGI11.SA,2.173456,128.844639,0.021502,ENGI11
2023-07-24,ENGI11.SA,1.153098,131.483442,0.011465,ENGI11
2023-07-25,ENGI11.SA,0.609264,132.893788,0.006074,ENGI11
2023-07-26,ENGI11.SA,0.586071,134.258711,0.005844,ENGI11
2023-07-27,ENGI11.SA,-2.13635,129.254124,-0.021595,ENGI11
2023-07-28,ENGI11.SA,0.238143,129.800076,0.002379,ENGI11
2023-07-31,ENGI11.SA,-0.633532,128.344219,-0.006355,ENGI11
2023-08-01,ENGI11.SA,-0.438331,127.343315,-0.004393,ENGI11
2023-08-02,ENGI11.SA,0.540315,128.571685,0.005389,ENGI11
2023-08-03,ENGI11.SA,-1.871017,124.29507,-0.018887,ENGI11
2023-08-04,ENGI11.SA,-0.649081,122.839213,-0.006512,ENGI11
2023-08-07,ENGI11.SA,-1.306663,119.927456,-0.013153,ENGI11
2023-08-08,ENGI11.SA,0.124131,120.200454,0.001241,ENGI11
2023-08-09,ENGI11.SA,0.351233,120.973871,0.003506,ENGI11
2023-08-10,ENGI11.SA,0.308833,121.656311,0.003084,ENGI11
2023-08-11,ENGI11.SA,0.779971,123.385165,0.007769,ENGI11
2023-08-14,ENGI11.SA,0.203673,123.840139,0.002035,ENGI11
2023-08-15,ENGI11.SA,-1.808947,119.79099,-0.018255,ENGI11
2023-08-16,ENGI11.SA,-0.042019,119.698636,-0.00042,ENGI11
2023-08-17,ENGI11.SA,-0.105057,119.467828,-0.001051,ENGI11
2023-08-18,ENGI11.SA,0.862433,121.36059,0.008587,ENGI11
2023-08-21,ENGI11.SA,-1.564148,117.898184,-0.015765,ENGI11
2023-08-22,ENGI11.SA,1.207637,120.529602,0.012004,ENGI11
2023-08-23,ENGI11.SA,-0.230266,120.021798,-0.002305,ENGI11
2023-08-24,ENGI11.SA,-0.146877,119.698636,-0.00147,ENGI11
2023-08-25,ENGI11.SA,-1.19772,117.067262,-0.01205,ENGI11
2023-08-28,ENGI11.SA,0.021268,117.113428,0.000213,ENGI11
2023-08-29,ENGI11.SA,0.956839,119.190854,0.009523,ENGI11
2023-08-30,ENGI11.SA,-1.579621,115.72847,-0.015922,ENGI11
2023-08-31,ENGI11.SA,-1.348173,112.820077,-0.013573,ENGI11
2023-09-01,ENGI11.SA,1.084605,115.128334,0.010788,ENGI11
2023-09-04,ENGI11.SA,1.051497,117.390402,0.01046,ENGI11
2023-09-05,ENGI11.SA,-1.677649,113.743354,-0.016919,ENGI11
2023-09-06,ENGI11.SA,-2.224605,108.988409,-0.022497,ENGI11
2023-09-08,ENGI11.SA,0.463874,109.957851,0.004628,ENGI11
2023-09-11,ENGI11.SA,1.143367,112.358439,0.011369,ENGI11
2023-09-12,ENGI11.SA,3.239137,119.23702,0.031878,ENGI11
2023-09-13,ENGI11.SA,1.937237,123.484161,0.019187,ENGI11
2023-09-14,ENGI11.SA,0.330518,124.222817,0.0033,ENGI11
2023-09-15,ENGI11.SA,4.900146,135.210062,0.047839,ENGI11
2023-09-18,ENGI11.SA,-1.432793,131.839988,-0.014432,ENGI11
2023-09-19,ENGI11.SA,-1.035432,129.439444,-0.010408,ENGI11
2023-09-20,ENGI11.SA,0.663991,130.9629,0.006618,ENGI11
2023-09-21,ENGI11.SA,-1.439152,127.638992,-0.014496,ENGI11
2023-09-22,ENGI11.SA,-0.831475,125.746229,-0.00835,ENGI11
2023-09-25,ENGI11.SA,-0.040891,125.653919,-0.000409,ENGI11
2023-09-26,ENGI11.SA,-3.068747,118.729172,-0.031168,ENGI11
2023-09-27,ENGI11.SA,-1.160826,116.190108,-0.011676,ENGI11
2023-09-28,ENGI11.SA,0.896863,118.129036,0.008929,ENGI11
2023-09-29,ENGI11.SA,-1.058207,115.82078,-0.010638,ENGI11
2023-10-02,ENGI11.SA,-1.604267,112.358439,-0.016173,ENGI11
2023-10-03,ENGI11.SA,-2.478259,107.095646,-0.025095,ENGI11
2023-10-04,ENGI11.SA,0.423519,107.972735,0.004226,ENGI11
2023-10-05,ENGI11.SA,-1.731399,104.371896,-0.017466,ENGI11
2023-10-06,ENGI11.SA,-0.768001,102.802318,-0.00771,ENGI11
2023-10-09,ENGI11.SA,1.069888,104.972076,0.010642,ENGI11
2023-10-10,ENGI11.SA,2.139627,109.357715,0.021171,ENGI11
2023-10-11,ENGI11.SA,0.35281,110.096349,0.003522,ENGI11
2023-10-13,ENGI11.SA,-3.713466,102.294492,-0.037842,ENGI11
2023-10-16,ENGI11.SA,0.593351,103.494808,0.005916,ENGI11
2023-10-17,ENGI11.SA,-0.884766,101.694356,-0.008887,ENGI11
2023-10-18,ENGI11.SA,0.0,101.694356,0.0,ENGI11
2023-10-19,ENGI11.SA,3.273053,108.295919,0.032206,ENGI11
2023-10-20,ENGI11.SA,0.265964,108.849911,0.002656,ENGI11
2023-10-23,ENGI11.SA,0.552611,110.004039,0.005511,ENGI11
2023-10-24,ENGI11.SA,-0.021994,109.957851,-0.00022,ENGI11
2023-10-25,ENGI11.SA,0.3738,110.742673,0.003731,ENGI11
2023-10-26,ENGI11.SA,4.271622,119.744802,0.041829,ENGI11
2023-10-27,ENGI11.SA,-1.575619,116.282462,-0.015882,ENGI11
2023-10-30,ENGI11.SA,-1.558172,112.912409,-0.015704,ENGI11
2023-10-31,ENGI11.SA,1.062441,115.174478,0.010568,ENGI11
2023-11-01,ENGI11.SA,2.703298,120.991284,0.026674,ENGI11
2023-11-03,ENGI11.SA,1.107162,123.438017,0.011011,ENGI11
2023-11-06,ENGI11.SA,0.640492,124.869119,0.006384,ENGI11
2023-11-07,ENGI11.SA,-0.225832,124.361293,-0.002261,ENGI11
2023-11-08,ENGI11.SA,-1.090542,121.914539,-0.010965,ENGI11
2023-11-09,ENGI11.SA,-0.436854,120.945096,-0.004378,ENGI11
2023-11-10,ENGI11.SA,4.596734,131.101354,0.044942,ENGI11
2023-11-13,ENGI11.SA,0.579319,132.440168,0.005776,ENGI11
2023-11-14,ENGI11.SA,2.244279,137.656773,0.022195,ENGI11
2023-11-16,ENGI11.SA,1.107235,140.288191,0.011011,ENGI11
2023-11-17,ENGI11.SA,0.26897,140.934493,0.002686,ENGI11
2023-11-20,ENGI11.SA,-1.494539,137.333633,-0.015058,ENGI11
2023-11-21,ENGI11.SA,-0.486289,136.179505,-0.004875,ENGI11
2023-11-22,ENGI11.SA,1.192348,138.995587,0.011853,ENGI11
2023-11-23,ENGI11.SA,0.927164,141.211467,0.009229,ENGI11
2023-11-24,ENGI11.SA,-0.688985,139.549557,-0.006914,ENGI11
2023-11-27,ENGI11.SA,0.809397,141.488463,0.008061,ENGI11
2023-11-28,ENGI11.SA,0.057361,141.626983,0.000573,ENGI11
2023-11-29,ENGI11.SA,-0.343905,140.796017,-0.003445,ENGI11
2023-11-30,ENGI11.SA,1.188643,143.658222,0.011816,ENGI11
2023-12-01,ENGI11.SA,0.549437,144.99697,0.005479,ENGI11
2023-12-04,ENGI11.SA,-0.602956,143.519746,-0.006048,ENGI11
2023-12-05,ENGI11.SA,0.284358,144.212214,0.00284,ENGI11
2023-12-06,ENGI11.SA,-0.245753,143.612056,-0.002461,ENGI11
2023-12-07,ENGI11.SA,-0.833809,141.580795,-0.008373,ENGI11
2023-12-08,ENGI11.SA,-0.343979,140.749807,-0.003446,ENGI11
2023-12-11,ENGI11.SA,-0.767019,138.903211,-0.0077,ENGI11
2023-12-12,ENGI11.SA,0.115954,139.180229,0.001159,ENGI11
2023-12-13,ENGI11.SA,1.177389,141.996311,0.011705,ENGI11
2023-12-14,ENGI11.SA,-1.373537,138.672403,-0.013831,ENGI11
2023-12-15,ENGI11.SA,-2.321076,133.132636,-0.023484,ENGI11
2023-12-18,ENGI11.SA,1.74257,137.195135,0.017276,ENGI11
2023-12-19,ENGI11.SA,1.498628,140.749807,0.014875,ENGI11
2023-12-20,ENGI11.SA,-1.169695,137.933769,-0.011766,ENGI11
2023-12-21,ENGI11.SA,-0.155214,137.564463,-0.001553,ENGI11
2023-12-22,ENGI11.SA,0.874468,139.641889,0.008707,ENGI11
2023-12-26,ENGI11.SA,2.003452,144.443,0.019836,ENGI11
2023-12-27,ENGI11.SA,1.322016,147.674576,0.013134,ENGI11
2023-12-28,ENGI11.SA,0.335507,148.505542,0.003349,ENGI11
2024-01-02,ENGI11.SA,-1.211447,145.49503,-0.012188,ENGI11
2024-01-03,ENGI11.SA,0.229935,146.059509,0.002297,ENGI11
2024-01-04,ENGI11.SA,-0.688196,144.366137,-0.006906,ENGI11
2024-01-05,ENGI11.SA,0.866213,146.482869,0.008625,ENGI11
2024-01-08,ENGI11.SA,2.290074,152.127509,0.022642,ENGI11
2024-01-09,ENGI11.SA,1.399247,155.655395,0.013895,ENGI11
2024-01-10,ENGI11.SA,0.165606,156.078776,0.001655,ENGI11
2024-01-11,ENGI11.SA,-1.561358,152.080469,-0.015737,ENGI11
2024-01-12,ENGI11.SA,-0.167937,151.657131,-0.001681,ENGI11
2024-01-15,ENGI11.SA,0.95327,154.056103,0.009488,ENGI11
