year,ticker,ticker_clean,longName,shortName,sector,industry,beta_selic_30d,pvalue,r2,n_obs,significant,median_return_30d_after_copom,mean_return_30d_after_copom,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct,beta_band,beta_abs,sig_label
2024,CSAN3.SA,CSAN3,Cosan S.A.,COSAN       ON  ATZ NM,Energy,Oil & Gas Refining & Marketing,-2.105,0.631,0.0631,6,False,-8.3841,-10.139,29.9257,-56.7919,10685884.0,-7.8255,Intermediário,2.105,nao_significativo
2024,EMBJ3.SA,EMBJ3,Embraer S.A.,EMBRAER     ON      NM,Industrials,Aerospace & Defense,-2.1006,0.7843,0.021,6,False,4.9588,5.338,38.3183,-12.9983,6907163.0,175.4315,Intermediário,2.1006,nao_significativo
2024,SBSP3.SA,SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SABESP      ON      NM,Utilities,Utilities - Regulated Water,-2.0023,0.5523,0.095,6,False,-0.4272,-0.4704,22.1616,-13.6777,21568790.0,200.9881,Intermediário,2.0023,nao_significativo
2024,IGTI11.SA,IGTI11,Iguatemi S.A.,IGUATEMI S.AUNT     N1,Real Estate,Real Estate Services,-1.941,0.6033,0.0735,6,False,-5.022,-4.7292,23.7173,-27.5585,3138974.0,-9.7338,Intermediário,1.941,nao_significativo
2024,VIVT3.SA,VIVT3,Telefônica Brasil S.A.,TELEF BRASILON  EJ,Communication Services,Telecom Services,-1.79,0.3942,0.1853,6,False,-0.752,-1.0313,21.4956,-21.2703,4732347.0,88.4676,Intermediário,1.79,nao_significativo
2024,ENGI11.SA,ENGI11,Energisa S.A.,ENERGISA    UNT     N2,Utilities,Utilities - Regulated Electric,-1.7645,0.1931,0.3791,6,False,-4.386,-3.6922,23.2443,-31.5235,3307122.0,75.3537,Intermediário,1.7645,nao_significativo
2024,CPFE3.SA,CPFE3,CPFL Energia S.A.,CPFL ENERGIAON      NM,Utilities,Utilities - Regulated Electric,-1.5513,0.2858,0.2747,6,False,-0.8479,-0.2722,18.1579,-18.7857,1845768.0,141.8765,Intermediário,1.5513,nao_significativo
2024,MOTV3.SA,MOTV3,Motiva Infraestrutura de Mobilidade S.A.,MOTIVA SA   ON      NM,Industrials,Infrastructure Operations,-1.4603,0.7258,0.0342,6,False,-4.4771,-3.8838,22.426,-26.6729,7825255.0,-22.3832,Intermediário,1.4603,nao_significativo
2024,SLCE3.SA,SLCE3,SLC Agrícola S.A.,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,-1.4304,0.7967,0.0186,6,False,-2.2592,-2.0806,22.0531,-13.6223,2746220.0,315.5406,Intermediário,1.4304,nao_significativo
2024,BBAS3.SA,BBAS3,Banco do Brasil S.A.,BRASIL      ON  EJ  NM,Financial Services,Banks - Regional,-1.3943,0.2157,0.3505,6,False,-1.4085,-1.4043,16.6494,-16.1605,17383170.0,141.2012,Intermediário,1.3943,nao_significativo
2024,SMFT3.SA,SMFT3,Smartfit Escola de Ginástica e Dança S.A.,SMART FIT   ON  EJ  NM,Consumer Cyclical,Leisure,-1.1411,0.8179,0.0149,6,False,-2.8769,-3.4523,31.5199,-35.4639,2324759.0,-42.6103,Intermediário,1.1411,nao_significativo
2024,EQTL3.SA,EQTL3,Equatorial S.A.,EQUATORIAL  ON      NM,Utilities,Utilities - Regulated Electric,-0.959,0.6654,0.0515,6,False,-4.7521,-4.7006,25.1542,-23.549,7953272.0,136.2049,Intermediário,0.959,nao_significativo
2024,ASAI3.SA,ASAI3,Sendas Distribuidora S.A.,ASSAI       ON      NM,Consumer Defensive,Grocery Stores,-0.9406,0.8614,0.0086,6,False,-7.4057,-5.6956,40.465,-65.5727,16349365.0,-59.7583,Intermediário,0.9406,nao_significativo
2024,MULT3.SA,MULT3,Multiplan Empreendimentos Imobiliários S.A.,MULTIPLAN   ON      N2,Real Estate,Real Estate Services,-0.8936,0.6515,0.0561,6,False,-5.1039,-4.9123,23.2677,-25.6015,4446330.0,4.853,Intermediário,0.8936,nao_significativo
2024,ISAE4.SA,ISAE4,ISA Energía Brasil S.A.,ISA ENERGIA PN      N1,Utilities,Utilities - Independent Power Producers,-0.8753,0.4434,0.1529,6,False,-0.701,-0.8104,21.0041,-17.0811,2835090.0,148.3805,Intermediário,0.8753,nao_significativo
2024,MRVE3.SA,MRVE3,MRV Engenharia e Participações S.A.,MRV         ON      NM,Real Estate,Real Estate - Development,-0.8307,0.9334,0.002,6,False,-2.2846,-7.6022,47.6484,-54.291,15412047.0,-50.5583,Intermediário,0.8307,nao_significativo
2024,BBSE3.SA,BBSE3,BB Seguridade Participações S.A.,BBSEGURIDADEON      NM,Financial Services,Insurance - Diversified,-0.6848,0.7472,0.0289,6,False,-0.5479,-0.1078,14.7316,-10.7162,4643904.0,124.2515,Intermediário,0.6848,nao_significativo
2024,HYPE3.SA,HYPE3,Hypera S.A.,HYPERA      ON      NM,Healthcare,Drug Manufacturers - Specialty & Generic,-0.4081,0.9578,0.0008,6,False,-4.7091,-4.6167,32.5989,-52.2596,4341650.0,-35.6435,Intermediário,0.4081,nao_significativo
2024,CPLE3.SA,CPLE3,Companhia Paranaense de Energia - COPEL,COPEL       ON      NM,Utilities,Utilities - Regulated Electric,-0.3806,0.8982,0.0046,6,False,-1.4641,-1.4782,20.523,-14.5091,6349083.0,517.9694,Intermediário,0.3806,nao_significativo
2024,AZZA3.SA,AZZA3,Azzas 2154 S.A.,AZZAS 2154  ON  ATZ NM,Consumer Cyclical,Footwear & Accessories,-0.2567,0.971,0.0004,6,False,-7.5173,-7.145,35.8664,-53.9065,2148549.0,-38.6386,Intermediário,0.2567,nao_significativo
2024,KLBN11.SA,KLBN11,Klabin S.A.,KLABIN S/A  UNT     N2,Basic Materials,Paper & Paper Products,-0.2095,0.9751,0.0003,6,False,-0.4103,1.6862,19.222,-12.7972,4620800.0,93.619,Intermediário,0.2095,nao_significativo
2024,SANB11.SA,SANB11,Banco Santander (Brasil) S.A.,SANTANDER BRUNT,Financial Services,Banks - Regional,-0.2056,0.8762,0.0068,6,False,-2.246,-2.613,20.5364,-24.8581,2855734.0,17.0827,Intermediário,0.2056,nao_significativo
2024,BPAC11.SA,BPAC11,Banco BTG Pactual S.A.,BTGP BANCO  UNT     N2,Financial Services,Capital Markets,-0.1244,0.971,0.0004,6,False,-4.1607,-4.7377,25.5654,-27.6243,8847869.0,617.7189,Intermediário,0.1244,nao_significativo
2024,RECV3.SA,RECV3,Petroreconcavo S.A.,PETRORECSA  ON      NM,Energy,Oil & Gas E&P,-0.0415,0.9925,0.0,6,False,-3.4986,-1.7772,35.1967,-26.6858,2508856.0,32.8437,Intermediário,0.0415,nao_significativo
2024,BEEF3.SA,BEEF3,Minerva S.A.,MINERVA     ON      NM,Consumer Defensive,Packaged Foods,0.3249,0.969,0.0004,6,False,-7.5646,-5.532,34.4708,-35.9748,9019038.0,-41.5786,Menos sensível,0.3249,nao_significativo
2024,BBDC4.SA,BBDC4,Banco Bradesco S.A.,BRADESCO    PN  EJ  N1,Financial Services,Banks - Regional,0.3945,0.9348,0.0019,6,False,-4.0156,-3.8944,23.629,-27.7417,38417856.0,-17.1215,Menos sensível,0.3945,nao_significativo
2024,TAEE11.SA,TAEE11,Transmissora Aliança de Energia Elétrica S.A.,TAESA       UNT     N2,Utilities,Utilities - Regulated Electric,0.4811,0.7902,0.0198,6,False,-1.1679,-1.3474,12.7693,-8.5072,1837037.0,213.122,Menos sensível,0.4811,nao_significativo
2024,CXSE3.SA,CXSE3,Caixa Seguridade Participações S.A.,CAIXA SEGURION      NM,Financial Services,Insurance - Diversified,0.6259,0.9128,0.0034,6,False,-2.1882,-1.9929,22.8537,-15.3957,4292832.0,86.5383,Menos sensível,0.6259,nao_significativo
2024,B3SA3.SA,B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",B3          ON      NM,Financial Services,Financial Data & Stock Exchanges,0.7464,0.6799,0.047,6,False,-4.4415,-4.659,27.7003,-34.2126,45196458.0,73.0249,Menos sensível,0.7464,nao_significativo
2024,PETR4.SA,PETR4,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   PN  EX  N2,Energy,Oil & Gas Integrated,0.9977,0.8893,0.0055,6,False,1.1164,1.5511,23.8243,-16.8998,37065829.0,636.9939,Menos sensível,0.9977,nao_significativo
2024,BBDC3.SA,BBDC3,Banco Bradesco S.A.,BRADESCO    ON  EJ  N1,Financial Services,Banks - Regional,1.0697,0.754,0.0274,6,False,-4.0051,-4.3072,21.8078,-26.454,7645801.0,-16.9733,Menos sensível,1.0697,nao_significativo
2024,AXIA3.SA,AXIA3,AXIA Energia SA,AXIA ENERGIAON      NM,Utilities,Utilities - Renewable,1.1757,0.833,0.0125,6,False,-3.3902,-2.1008,23.6041,-22.5851,7871282.0,122.6205,Menos sensível,1.1757,nao_significativo
2024,PRIO3.SA,PRIO3,Prio S.A.,PRIO        ON      NM,Energy,Oil & Gas E&P,1.2485,0.8524,0.0098,6,False,2.2981,-1.0071,29.3263,-23.3779,9099949.0,2253.1006,Menos sensível,1.2485,nao_significativo
2024,PETR3.SA,PETR3,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   ON  EJ  N2,Energy,Oil & Gas Integrated,1.5472,0.8541,0.0095,6,False,2.4096,2.2118,26.6098,-18.4761,10838432.0,620.8773,Menos sensível,1.5472,nao_significativo
2024,SUZB3.SA,SUZB3,Suzano S.A.,SUZANO S.A. ON      NM,Basic Materials,Paper & Paper Products,1.8941,0.7672,0.0245,6,False,4.0968,4.1331,25.2788,-28.4992,6918107.0,274.357,Menos sensível,1.8941,nao_significativo
2024,ABEV3.SA,ABEV3,Ambev S.A.,AMBEV S/A   ON,Consumer Defensive,Beverages - Brewers,2.0191,0.7915,0.0196,6,False,-3.8467,-1.0368,18.6068,-19.4041,29173614.0,-28.1582,Menos sensível,2.0191,nao_significativo
2024,MBRF3.SA,MBRF3,MBRF Global Foods Company S.A.,MARFRIG     ON      NM,Consumer Defensive,Packaged Foods,2.2725,0.8078,0.0166,6,False,4.863,8.9585,43.2787,-15.9112,6968602.0,281.2124,Menos sensível,2.2725,nao_significativo
