copom_date,delta_selic,sector,median_return_30d,copom_direction,industry
2024-11-07,0.5,Consumer Defensive,7.031696879037663,alta,Education & Training Services
2024-11-07,0.5,Energy,1.873235774358828,alta,Oil & Gas E&P
2024-11-07,0.5,Financial Services,-4.807069692766497,alta,Banks - Regional
2024-11-07,0.5,Healthcare,-4.665246058628991,alta,Diagnostics & Research
2024-11-07,0.5,Industrials,-3.57513735672868,alta,Rental & Leasing Services
2024-11-07,0.5,Real Estate,-7.5175961924342,alta,Real Estate - Development
2024-11-07,0.5,Technology,-10.645604899165129,alta,Software - Application
2024-11-07,0.5,Utilities,-0.43287119711250543,alta,Utilities - Regulated Electric
2024-12-12,1.0,Basic Materials,-13.104524180967235,alta,Steel
2024-12-12,1.0,Communication Services,-5.7636438381059305,alta,Telecom Services
2024-12-12,1.0,Consumer Cyclical,-10.339039095742441,alta,Specialty Retail
2024-12-12,1.0,Consumer Defensive,-0.6421269288122589,alta,Education & Training Services
2024-12-12,1.0,Energy,1.8680031412847908,alta,Oil & Gas E&P
2024-12-12,1.0,Financial Services,-4.5229114638797085,alta,Banks - Regional
2024-12-12,1.0,Healthcare,-5.009571799083417,alta,Diagnostics & Research
2024-12-12,1.0,Industrials,-8.2944692897637,alta,Rental & Leasing Services
2024-12-12,1.0,Real Estate,-7.62743706824236,alta,Real Estate - Development
2024-12-12,1.0,Technology,-8.43332857158594,alta,Software - Application
